end_date_time,activity_names,perceived_exertion,duration_min
2019-11-03T08:00:32.000Z,"['individual', 'strength']",7,100
2019-11-03T14:50:17.000Z,"['individual', 'running']",6,90
2019-11-06T19:59:23.427Z,"['individual', 'running']",7,70
2019-11-08T11:10:13.000Z,"['individual', 'strength']",4,60
2019-11-08T15:25:57.000Z,"['individual', 'running']",6,70
2019-11-11T19:37:54.122Z,"['individual', 'running']",6,80
2019-11-12T12:05:10.000Z,"['individual', 'strength']",5,40
2019-11-13T13:51:43.111Z,"['individual', 'strength']",8,40
2019-11-15T14:25:25.856Z,"['individual', 'strength']",4,40
2019-11-16T13:00:43.000Z,"['individual', 'running']",6,70
2019-11-18T10:30:41.000Z,"['individual', 'strength']",5,50
2019-11-18T19:34:37.618Z,"['individual', 'running']",7,80
2019-11-19T18:02:58.000Z,"['individual', 'running']",7,30
2019-11-21T15:48:57.940Z,"['individual', 'endurance']",2,70
2019-11-22T12:59:01.000Z,"['individual', 'strength']",5,50
2019-11-26T10:24:43.759Z,"['individual', 'endurance']",1,40
2019-11-26T17:30:31.000Z,"['individual', 'running']",5,60
2019-11-27T12:00:34.000Z,"['individual', 'strength']",4,40
2019-11-29T14:05:55.471Z,"['individual', 'strength']",5,50
2019-12-01T13:43:49.540Z,"['individual', 'endurance']",2,180
2019-12-02T17:25:21.315Z,"['individual', 'endurance']",2,80
2019-12-03T10:57:30.296Z,"['individual', 'strength']",5,60
2019-12-05T10:20:51.000Z,"['individual', 'strength']",5,40
2019-12-05T17:17:33.816Z,"['individual', 'running']",4,70
2019-12-06T14:30:48.000Z,"['individual', 'endurance']",1,50
2019-12-07T09:00:39.000Z,"['individual', 'endurance']",5,120
2019-12-08T16:37:23.715Z,"['individual', 'endurance']",6,110
2019-12-09T16:15:49.000Z,"['individual', 'endurance']",3,80
2019-12-12T10:05:18.000Z,"['individual', 'strength']",4,50
2019-12-13T14:15:27.000Z,"['individual', 'running']",5,70
2019-12-15T14:00:26.000Z,"['individual', 'running']",8,60
2019-12-16T12:00:36.000Z,"['individual', 'strength']",5,50
2019-12-18T11:10:04.000Z,"['individual', 'running']",8,80
2019-12-20T12:00:43.000Z,"['individual', 'running']",5,80
2019-12-22T16:00:28.478Z,"['individual', 'strength']",5,50
2019-12-24T14:50:16.055Z,"['individual', 'running']",7,50
2019-12-26T13:09:14.000Z,"['individual', 'strength']",4,40
2019-12-28T09:27:16.000Z,"['individual', 'running']",7,60
2019-12-30T11:02:20.392Z,"['individual', 'strength']",4,60
2019-12-31T14:37:45.470Z,"['individual', 'running']",7,80
2020-01-02T11:04:16.000Z,"['individual', 'strength']",5,60
2020-01-05T14:24:15.726Z,"['individual', 'endurance']",4,90
2020-01-06T09:10:54.000Z,"['individual', 'strength']",4,60
2020-01-07T19:57:38.139Z,"['individual', 'running']",6,100
2020-01-08T17:06:22.000Z,"['individual', 'endurance']",2,90
2020-01-10T11:03:41.527Z,"['individual', 'strength']",4,60
